,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:22:12,2018-07-04 11:23:05,2018-07-04 11:21:55,2018-07-04 11:21:08,2018-07-04 11:23:26,2018-07-04 11:22:30,2018-07-04 11:25:21,2018-07-04 11:25:12,2018-07-04 11:27:37,2018-07-04 11:22:37,2018-07-04 11:27:15,2018-07-04 11:21:54,2018-07-04 11:24:37,2018-07-04 11:23:13,2018-07-04 11:21:11,2018-07-04 11:24:48,2018-07-04 11:23:33,2018-07-04 11:24:34,2018-07-04 11:30:42,2018-07-04 11:32:57,2018-07-04 11:36:58,2018-07-04 11:39:21,2018-07-04 11:37:32,2018-07-04 11:45:01,2018-07-04 11:28:18,2018-07-04 12:03:41,2018-07-04 12:27:13,2018-07-04 12:23:24,2018-07-04 12:31:25,2018-07-04 12:51:11
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:34:21,2018-07-04 11:35:11,2018-07-04 11:35:16,2018-07-04 11:36:11,2018-07-04 11:38:27,2018-07-04 11:38:29,2018-07-04 11:38:32,2018-07-04 11:40:29,2018-07-04 11:40:54,2018-07-04 11:41:26,2018-07-04 11:41:49,2018-07-04 11:42:56,2018-07-04 11:43:10,2018-07-04 11:44:04,2018-07-04 11:46:42,2018-07-04 11:47:03,2018-07-04 11:47:36,2018-07-04 11:47:52,2018-07-04 11:48:24,2018-07-04 11:49:07,2018-07-04 11:51:52,2018-07-04 11:53:24,2018-07-04 11:55:48,2018-07-04 11:56:01,2018-07-04 12:00:11,2018-07-04 12:15:10,2018-07-04 12:36:42,2018-07-04 12:41:11,2018-07-04 12:44:58,2018-07-04 13:12:10
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",68.44.129.34,104.0.74.90,75.187.69.219,98.143.0.112,70.163.6.37,98.177.165.235,108.64.75.194,69.76.44.10,76.98.73.254,64.203.220.154,174.47.173.254,23.113.68.110,63.227.47.202,107.77.199.71,73.230.121.97,157.32.97.236,73.43.88.83,72.80.116.19,73.135.121.41,71.63.144.86,73.233.150.132,69.142.163.135,99.117.138.226,96.249.250.200,98.19.23.102,70.125.32.46,65.31.180.86,68.199.25.103,69.243.81.82,98.27.172.168
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",728,726,801,902,900,958,790,917,796,1129,874,1261,1112,1251,1531,1334,1442,1398,1062,970,894,843,1095,659,1913,688,568,1067,813,1258
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:34:22,2018-07-04 11:35:12,2018-07-04 11:35:17,2018-07-04 11:36:12,2018-07-04 11:38:28,2018-07-04 11:38:29,2018-07-04 11:38:32,2018-07-04 11:40:31,2018-07-04 11:40:55,2018-07-04 11:41:27,2018-07-04 11:41:50,2018-07-04 11:42:56,2018-07-04 11:43:10,2018-07-04 11:44:05,2018-07-04 11:46:43,2018-07-04 11:47:04,2018-07-04 11:47:37,2018-07-04 11:47:53,2018-07-04 11:48:24,2018-07-04 11:49:07,2018-07-04 11:51:53,2018-07-04 11:53:25,2018-07-04 11:55:49,2018-07-04 11:56:02,2018-07-04 12:00:12,2018-07-04 12:15:10,2018-07-04 12:36:43,2018-07-04 12:41:12,2018-07-04 12:44:59,2018-07-04 13:12:11
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2PbRHTBUV15y7Z1,R_1fd4d4lOxOX3u7C,R_3NKXb0UamcoCm72,R_3Kw7bWzDQs6wBUq,R_czKefMsMLNWTkv7,R_0PnrauMTvq3YuaJ,R_2zMxolsSsInsbQR,R_3rOMknByCvQMgz8,R_Qglh8wHjvHmhIgp,R_UH1UoxCHytvy20p,R_6JAWk8ZFVoKa9AR,R_3MzCe5AkEs3KMfc,R_3ikDtLtAFe5x7wj,R_1HeCSJTjUuLQqKr,R_11bFr4TFkEncfHl,R_1JLUMx76moZL5BM,R_3nHGDtwRBniEjaC,R_6i2AF6foMtFEqlP,R_2q1zrKH6L3ruNlf,R_1o6JC73YypsQ67a,R_3eqKEjs7VzXVawY,R_RrTZMGSNBCHCiQ1,R_C3mLGEwSVxe77ah,R_56XbZB0WKrhrsU9,R_8v8b4QLpseJApvb,R_2ZP0Tzx5jN27Mqm,R_qzkYnOxE8U156dX,R_3EzogPlirxRkXbb,R_2tF4OJF4gK3JZVu,R_3MgKH3lPINAvjYX
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",40.153793334961,32.626800537109,39.479202270508,35.371505737305,38.793395996094,33.24870300293,38.112899780273,37.766204833984,40.049102783203,32.328903198242,30.137496948242,33.520904541016,39.843597412109,33.16259765625,40.784896850586,23.033294677734,33.724197387695,40.597503662109,39.366806030273,45.016098022461,40.102996826172,40.866897583008,42.010604858398,37.062698364258,36.000793457031,27.947494506836,42.886306762695,40.668701171875,38.833694458008,41.134292602539
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-85.621299743652,-96.778396606445,-84.712997436523,-85.390502929688,-77.271598815918,-111.63430023193,-122.13310241699,-87.259101867676,-75.228103637695,-80.699401855469,-93.452903747559,-84.323799133301,-105.37650299072,-96.9375,-77.84700012207,72.61669921875,-84.468299865723,-73.997901916504,-76.587997436523,-122.91369628906,-74.941497802734,-74.821998596191,-87.668601989746,-76.405197143555,-106.13159942627,-81.920402526855,-87.888298034668,-74.114303588867,-77.120399475098,-81.855903625488
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,2,1,1,2,1,2,1,1,1,2,2,2,2
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",40,28,30,25,47,28,34,36,27,36,27,42,55,42,59,29,28,32,27,29,37,55,32,25,35,29,22,23,29,47
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
youâ€™re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",5,2,5,2,8,6,5,3,5,4,5,3,3,5,2,5,5,5,3,3,3,4,3,4,6,5,2,5,2,4
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID77_1""}",1,2,4,4,1,2,1,1,5,4,3,4,2,5,4,5,1,1,3,5,1,5,1,4,1,5,4,4,2,4
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID77_2""}",3,4,1,2,3,4,4,3,2,1,2,5,4,4,2,4,4,2,4,1,4,2,2,4,1,2,2,5,1,1
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID77_3""}",3,5,4,3,4,5,5,4,5,3,4,5,5,5,5,4,4,4,4,5,5,4,5,2,5,5,4,4,5,5
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID77_4""}",1,2,2,5,4,1,4,1,1,1,3,1,2,1,1,3,1,4,2,1,4,1,4,2,5,1,5,4,1,1
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID77_5""}",1,5,4,4,4,4,4,4,5,3,3,3,4,4,4,3,4,2,4,4,5,4,4,4,5,3,4,5,5,5
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID77_6""}",5,4,2,3,5,4,5,5,1,4,2,2,4,2,2,4,4,5,4,1,5,1,5,4,4,1,4,2,4,2
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID77_7""}",3,2,5,4,3,2,2,3,5,4,2,4,4,3,5,3,4,2,3,4,4,4,3,4,5,4,4,3,5,4
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID77_8""}",1,2,1,3,4,4,2,4,1,1,4,2,2,2,4,5,3,2,2,1,2,4,2,3,1,1,5,4,1,1
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID77_9""}",3,4,2,1,3,4,1,4,5,4,3,4,4,4,5,4,5,2,2,5,3,4,5,3,1,5,4,4,5,5
Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID77_10""}",3,3,5,5,5,4,4,4,5,4,3,4,4,4,4,3,4,3,5,4,4,5,5,4,5,3,4,5,5,5
Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID77_11""}",1,4,4,3,3,4,2,2,5,3,1,5,3,4,5,4,3,1,3,3,3,4,1,5,1,4,4,4,3,4
Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID77_12""}",1,1,2,3,2,1,2,3,1,1,2,2,2,2,1,4,1,2,2,1,2,1,1,4,1,1,2,1,1,1
Q2.1_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID77_13""}",3,5,5,3,4,5,4,4,5,5,3,5,5,5,5,5,4,4,4,5,5,4,5,4,4,5,4,4,5,5
Q2.1_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID77_14""}",2,4,2,4,4,4,5,3,1,1,4,3,2,3,4,3,2,4,3,1,4,1,2,3,4,4,5,4,1,4
Q2.1_15,BFI,15,"I see myself as someone who is: - Is ingenious, a deep thinker","{""ImportId"":""QID77_15""}",1,2,4,3,5,4,1,3,5,3,2,3,4,3,4,2,4,2,4,4,5,4,4,4,5,4,5,5,5,5
Q2.1_16,BFI,16,I see myself as someone who is: - Generates a lot of enthusiasm,"{""ImportId"":""QID77_16""}",1,4,4,2,3,4,2,2,5,4,2,5,2,4,3,4,3,1,3,4,3,4,1,3,3,4,4,2,3,4
Q2.1_17,BFI,17,I see myself as someone who is: - Has a forgiving nature,"{""ImportId"":""QID77_17""}",3,4,5,4,4,4,4,1,1,4,4,2,2,2,4,4,3,2,2,5,4,5,4,3,5,1,4,1,5,5
Q2.1_18,BFI,18,I see myself as someone who is: - Tends to be disorganized,"{""ImportId"":""QID77_18""}",1,3,2,3,4,4,2,4,1,1,4,2,1,1,1,5,3,2,2,2,2,3,4,4,1,1,4,5,1,1
Q2.1_19,BFI,19,I see myself as someone who is: - Worries a lot,"{""ImportId"":""QID77_19""}",5,2,4,5,4,2,5,1,1,1,4,1,4,1,2,4,2,4,4,3,3,2,2,4,5,4,5,5,1,1
Q2.1_20,BFI,20,I see myself as someone who is: - Has ana active imagination,"{""ImportId"":""QID77_20""}",1,2,5,5,4,5,4,4,5,3,2,3,4,4,5,3,3,2,4,4,4,4,4,3,5,1,5,5,5,5
Q2.1_21,BFI,21,I see myself as someone who is: - Tends to be quiet,"{""ImportId"":""QID77_21""}",5,5,2,3,4,4,5,5,1,3,3,2,4,1,1,3,4,5,3,1,5,2,5,2,4,1,4,1,4,2
Q2.1_22,BFI,22,I see myself as someone who is: - Is generally trusting,"{""ImportId"":""QID77_22""}",3,4,4,3,3,4,2,1,1,4,2,1,2,2,4,5,3,2,2,5,3,4,4,2,1,2,4,2,4,5
Q2.1_23,BFI,23,I see myself as someone who is: - Tends to be lazy,"{""ImportId"":""QID77_23""}",4,2,2,3,4,2,2,3,1,1,2,1,3,1,1,3,2,3,3,1,2,1,4,2,1,1,4,4,1,1
Q2.1_24,BFI,24,"I see myself as someone who is: - Is emotionally stable, not easily upset","{""ImportId"":""QID77_24""}",4,5,2,1,3,4,1,3,5,4,3,4,4,4,5,3,4,3,4,4,3,4,5,4,1,5,5,4,5,5
Q2.1_25,BFI,25,I see myself as someone who is: - Is inventive,"{""ImportId"":""QID77_25""}",1,4,4,4,4,3,4,4,5,3,3,3,4,4,4,5,4,2,4,3,5,3,4,3,5,4,4,5,5,5
Q2.1_26,BFI,26,I see myself as someone who is: - Has an assertive personality,"{""ImportId"":""QID77_26""}",3,4,4,2,2,1,2,4,4,1,4,4,2,4,4,4,3,1,4,4,4,4,1,3,4,4,4,4,2,2
Q2.1_27,BFI,27,I see myself as someone who is: - Can be cold and aloof,"{""ImportId"":""QID77_27""}",4,3,2,3,3,4,4,4,1,1,4,4,2,3,1,5,1,4,3,1,4,1,3,4,2,1,2,3,1,1
Q2.1_28,BFI,28,I see myself as someone who is: - Preseveres until the task is finished,"{""ImportId"":""QID77_28""}",3,4,5,3,3,5,4,4,5,4,3,4,5,5,5,3,4,4,3,5,5,5,4,4,5,5,4,4,5,5
Q2.1_29,BFI,29,I see myself as someone who is: - Can be moody,"{""ImportId"":""QID77_29""}",1,2,2,4,3,4,5,4,1,1,3,2,2,3,1,3,1,4,3,1,3,3,1,2,4,1,2,1,1,4
Q2.1_30,BFI,30,"I see myself as someone who is: - Values artistic, aesthetic experiences","{""ImportId"":""QID77_30""}",1,2,5,4,4,5,5,3,5,4,3,3,4,3,5,5,2,3,4,5,1,4,5,2,5,4,4,4,5,5
Q2.1_31,BFI,31,"I see myself as someone who is: - Is sometimes shy, inhibited","{""ImportId"":""QID77_31""}",5,4,2,4,5,5,5,3,1,4,3,2,4,1,1,4,4,5,3,1,5,1,5,3,4,1,4,4,4,4
Q2.1_32,BFI,32,I see myself as someone who is: - Is considerate and kind to almost everyone,"{""ImportId"":""QID77_32""}",3,4,5,4,4,4,4,3,5,5,3,2,2,3,5,4,5,2,3,4,4,4,4,4,5,5,4,3,5,5
Q2.1_33,BFI,33,I see myself as someone who is: - Does things efficiently,"{""ImportId"":""QID77_33""}",5,3,4,3,3,5,4,4,5,4,3,4,5,5,5,2,5,3,4,5,5,5,4,4,3,5,4,4,5,4
Q2.1_34,BFI,34,I see myself as someone who is: - Remains calm in tense situations,"{""ImportId"":""QID77_34""}",4,4,2,3,4,2,1,4,5,4,2,4,4,4,5,2,4,2,3,3,4,4,5,5,1,4,4,5,5,5
Q2.1_35,BFI,35,I see myself as someone who is: - Prefers work that is routine,"{""ImportId"":""QID77_35""}",5,2,4,4,2,5,5,4,3,4,5,3,4,3,4,3,3,4,4,5,4,4,4,4,4,5,4,1,1,2
Q2.1_36,BFI,36,"I see myself as someone who is: - Is outgoing, sociable","{""ImportId"":""QID77_36""}",1,4,4,3,2,2,1,2,5,5,3,4,2,4,5,3,2,1,3,5,1,5,1,4,3,5,2,4,2,5
Q2.1_37,BFI,37,I see myself as someone who is: - Is sometimes rude to others,"{""ImportId"":""QID77_37""}",3,3,1,3,3,1,4,3,1,1,4,4,3,4,1,4,2,4,2,2,4,2,2,3,1,1,4,4,1,2
Q2.1_38,BFI,38,I see myself as someone who is: - Makes plans and follows through with them,"{""ImportId"":""QID77_38""}",4,2,5,3,3,4,4,4,5,5,2,4,4,4,5,5,3,4,4,5,3,5,4,4,5,5,4,4,5,5
Q2.1_39,BFI,39,I see myself as someone who is: - Gets nervous easily,"{""ImportId"":""QID77_39""}",2,2,4,5,4,2,5,1,1,1,3,2,2,1,2,2,3,4,4,2,3,1,2,3,3,1,5,1,1,1
Q2.1_40,BFI,40,"I see myself as someone who is: - Likes to reflect, play with ideas","{""ImportId"":""QID77_40""}",1,3,4,4,5,4,4,4,5,4,4,3,4,3,4,4,3,2,3,2,4,4,5,3,5,1,4,4,5,5
Q2.1_41,BFI,41,I see myself as someone who is: - Has few artistic interests,"{""ImportId"":""QID77_41""}",5,3,1,1,2,2,1,3,1,3,3,3,2,2,5,3,3,4,1,1,4,2,1,3,1,2,5,2,1,1
Q2.1_42,BFI,42,I see myself as someone who is: - Likes to cooperate with others,"{""ImportId"":""QID77_42""}",3,5,5,3,3,4,4,3,3,4,4,4,2,4,4,3,4,3,3,3,3,4,3,4,5,4,5,2,5,5
Q2.1_43,BFI,43,I see myself as someone who is: - Is easily disracted,"{""ImportId"":""QID77_43""}",1,2,2,3,3,4,4,2,1,1,4,2,2,2,1,5,2,2,2,2,2,5,2,2,4,1,5,4,1,1
Q2.1_44,BFI,44,"I see myself as someone who is: - Is sophisticated in art, music, or literature","{""ImportId"":""QID77_44""}",1,4,4,3,4,4,4,2,5,4,2,2,4,2,1,4,2,2,5,5,2,5,4,3,5,5,4,4,4,4
Q2.2_Page Submit,BFI,response_time,Timing - Page Submit,"{""ImportId"":""QID78_PAGE_SUBMIT""}",45.09,111.345,78.537,108.839,57.187,176.82,64.387,97.222,171.686,149.639,59.357,115.27,120.83,421.774,103.031,109.865,144.217,245.202,126.556,130.669,74.479,69.49,183.603,28.62,962.867,33.866,61.295,87.613,116.779,168.926
Q3.1_1,NARS,1,Click to write the question text - I would feel uneasy if robots really had emotions.,"{""ImportId"":""QID90_1""}",5,4,5,2,3,4,4,4,5,3,4,5,4,4,4,5,1,4,3,1,2,4,1,5,4,4,4,3,3,3
Q3.1_2,NARS,2,Click to write the question text - Something bad might happen if robots developed into living beings.,"{""ImportId"":""QID90_2""}",5,2,5,3,4,4,4,5,5,2,4,4,4,2,4,4,1,4,2,1,1,5,3,4,5,3,4,4,3,3
Q3.1_3,NARS,3,Click to write the question text - I would feel relaxed talking with robots.,"{""ImportId"":""QID90_3""}",2,2,2,4,3,2,2,3,1,4,2,3,2,4,4,4,5,3,3,5,4,4,5,4,3,4,2,3,2,4
Q3.1_4,NARS,4,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"{""ImportId"":""QID90_4""}",1,4,4,2,2,1,4,3,5,1,3,2,2,1,3,4,1,2,2,1,2,1,1,4,2,1,4,3,1,1
Q3.1_5,NARS,5,"Click to write the question text - If robots had emotions, I would be able to make friends with them.","{""ImportId"":""QID90_5""}",1,3,4,4,4,4,4,2,1,4,3,2,3,4,2,5,5,3,3,5,3,2,4,2,3,1,2,3,3,4
Q3.1_6,NARS,6,Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"{""ImportId"":""QID90_6""}",1,4,2,3,2,2,2,1,1,4,2,1,2,2,3,3,5,2,2,5,3,4,4,3,2,1,2,2,3,3
Q3.1_7,NARS,7,"Click to write the question text - The word ""robot"" means nothing to me.","{""ImportId"":""QID90_7""}",1,1,2,2,1,1,2,3,1,2,2,2,2,3,2,4,3,1,2,3,1,1,2,3,1,5,2,3,1,1
Q3.1_8,NARS,8,Click to write the question text - I would feel nervous operating a robot in front of other people.,"{""ImportId"":""QID90_8""}",2,4,4,3,2,1,4,2,5,1,3,2,4,1,4,4,1,3,3,1,2,1,1,4,1,1,4,2,2,1
Q3.1_9,NARS,9,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,"{""ImportId"":""QID90_9""}",5,2,4,3,3,2,2,4,5,3,3,4,2,4,3,3,1,4,4,1,2,4,2,3,5,2,5,4,3,4
Q3.1_10,NARS,10,Click to write the question text - I would feel very nervous just standing in front of a robot.,"{""ImportId"":""QID90_10""}",3,4,3,2,2,1,4,1,5,1,4,3,2,1,2,4,1,2,2,1,1,1,1,3,2,1,5,1,1,1
Q3.1_11,NARS,11,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.","{""ImportId"":""QID90_11""}",5,4,5,3,3,1,5,3,5,3,4,2,3,1,4,5,1,4,3,1,2,1,4,2,5,2,4,3,3,1
Q3.1_12,NARS,12,Click to write the question text - I would feel paranoid talking with a robot.,"{""ImportId"":""QID90_12""}",5,1,4,2,2,2,5,1,5,1,4,3,4,2,2,4,1,3,2,1,2,1,1,3,2,1,4,2,1,1
Q3.1_13,NARS,13,Click to write the question text - I am concerned that robots would be a bad influence on children.,"{""ImportId"":""QID90_13""}",5,2,4,2,4,2,2,2,5,3,3,2,2,2,4,3,1,1,2,1,1,3,2,3,2,1,4,2,2,1
Q3.1_14,NARS,14,Click to write the question text - I feel that in the future society will be dominated by robots.,"{""ImportId"":""QID90_14""}",2,4,4,2,3,2,4,3,1,1,5,4,2,1,3,4,3,3,3,4,2,3,1,4,4,2,5,2,1,1
Q3.2_Page Submit,NARS,response_time,Timing - Page Submit,"{""ImportId"":""QID91_PAGE_SUBMIT""}",30.78,40.084,46.503,70.036,40.197,63.649,43.531,66.928,40.688,70.315,19.696,72.922,70.941,72.46,102.871,18.64,227.284,56.261,49.799,245.292,47.93,79.984,71.942,9.357,34.661,20.563,16.918,46.736,61.713,123.602
Q5.1,QID96,,Which robot do you agree with?,"{""ImportId"":""QID96""}",2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1
Q5.2_Page Submit,QID96,response_time,Timing - Page Submit,"{""ImportId"":""QID97_PAGE_SUBMIT""}",2.054,4.693,3.099,2.891,23.43,2.94,5.528,4.069,5.713,7.063,8.135,12.818,9.231,5.881,8.05,4.753,2.923,81.805,15.619,2.239,2.719,6.866,7.212,2.134,3.895,1.487,1.398,65.615,3.581,12.067
Q7.1,QID98,,Which robot do you agree with?,"{""ImportId"":""QID98""}",2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
Q7.2_Page Submit,QID98,response_time,Timing - Page Submit,"{""ImportId"":""QID99_PAGE_SUBMIT""}",1.349,4.367,0.702,2.024,1.88,1.592,1.393,1.703,2.989,2.413,0.931,3.34,2.891,6.866,2.557,11.732,1.335,1.407,11.649,1.535,1.681,1.582,2.058,1.871,2.45,0.36,1.19,1.251,2.241,2.343
