,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Q93_Page Submit,QID92,response_time,Timing - Page Submit,"{""ImportId"":""QID93_PAGE_SUBMIT""}",6.126,4.716,6.151,9.95,22.549,8.866,29.47,0.982,16.634,16.321,7.5,32.893,3.469,18.388,16.203,11.917,19.521,13.15,6.863,5.202,20.039,11.091,11.757,51.929,18.018,11.076,19.096,12.548,7.138,37.371,31.435,28.48
Q108,QID108,,Which robot do you agree with?,"{""ImportId"":""QID108""}",2,1,2,1,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,1,2,1,2,2,2,2,1,1,2,1,1,2
Q109_Page Submit,QID108,response_time,Timing - Page Submit,"{""ImportId"":""QID109_PAGE_SUBMIT""}",1.986,1.34,1.405,2.652,2.693,1.376,2.086,1.768,5.278,1.391,7.899,2.073,1.485,2.209,1.506,1.493,1.831,1.857,2.517,2.335,3.909,1.587,2.528,1.701,7.424,1.893,2.409,1.665,2.672,2.606,4.156,2.583
Q100,QID100,,Which robot do you agree with?,"{""ImportId"":""QID100""}",1,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1
Q101_Page Submit,QID100,response_time,Timing - Page Submit,"{""ImportId"":""QID101_PAGE_SUBMIT""}",2.199,1.054,1.5,1.699,2.479,1.341,2.065,0.92,9.302,2.882,1.856,2.15,1.311,2.925,1.255,2.836,1.467,1.411,2.167,4.291,4.405,1.801,2.424,1.764,2.311,1.737,1.71,1.287,2.816,2.111,1.709,1.888
Q102,QID102,,Which robot do you agree with?,"{""ImportId"":""QID102""}",2,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1
Q103_Page Submit,QID102,response_time,Timing - Page Submit,"{""ImportId"":""QID103_PAGE_SUBMIT""}",1.475,2.146,1.437,1.762,2.198,1.332,2.624,0.919,9.829,1.498,1.395,1.419,1.309,2.369,1.401,1.678,1.479,1.751,2.009,1.761,4.109,2.391,6.123,2.017,2.521,1.481,0.914,1.967,3.215,2.683,2.052,2.659
Q104,QID104,,Which robot do you DON'T agree with?,"{""ImportId"":""QID104""}",2,2,1,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,1,2,1
Q105_Page Submit,QID104,response_time,Timing - Page Submit,"{""ImportId"":""QID105_PAGE_SUBMIT""}",4.86,2.958,6.28,7.904,3.549,1.298,7.516,0.983,19.136,3.512,7.11,5.895,1.562,4.796,1.773,2.334,4.075,2.564,3.299,7.79,7.49,4.381,4.721,2.762,9.508,3.821,11.017,3.558,4.075,13.968,2.954,3.555
Q106,QID106,,Which robot do you agree with?,"{""ImportId"":""QID106""}",1,2,1,1,2,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,2
Q107_Page Submit,QID106,response_time,Timing - Page Submit,"{""ImportId"":""QID107_PAGE_SUBMIT""}",1.887,1.55,1.749,2.218,2.979,1.347,4.752,0.275,2.602,2.679,1.759,2.175,1.41,6.757,1.349,2.027,2.127,2.06,2.645,6.986,4.174,3.311,12.583,1.626,13.044,4.816,1.617,2.355,3.776,3.302,3.089,2.056
Q90_6,QID90,6,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,"{""ImportId"":""QID90_6""}",1,1,1,4,1,4,1,1,4,4,1,1,4,1,4,1,1,4,4,4,4,4,1,1,1,1,4,4,1,4,4,1
Q90_2,QID90,2,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,"{""ImportId"":""QID90_2""}",1,4,1,1,1,4,1,1,4,4,1,4,4,1,1,1,1,4,4,1,1,1,4,1,1,1,4,4,1,4,4,1
Q90_7,QID90,7,For each statement choose a robot. - Which robot do you think will be a better analyst?,"{""ImportId"":""QID90_7""}",4,1,1,4,1,4,1,1,4,4,1,1,4,1,4,1,1,4,4,1,4,1,1,1,1,1,4,4,1,4,1,1
Q90_3,QID90,3,For each statement choose a robot. - Which robot would you like as a bartender?,"{""ImportId"":""QID90_3""}",1,4,4,1,1,1,4,1,4,1,1,4,1,4,1,4,4,1,4,4,1,4,1,1,4,4,4,1,1,4,4,4
Q91_Page Submit,QID90,response_time,Timing - Page Submit,"{""ImportId"":""QID91_PAGE_SUBMIT""}",4.664,15.929,12.864,17.195,12.556,5.593,26.356,1.737,15.683,52.559,26.641,47.357,5.219,9.915,12.916,5.426,42.016,8.011,15.868,5.516,21.46,11.578,39.748,17.674,20.167,24.18,25.156,19.454,11.073,12.39,20.868,21.645
Q79#1_1,QID79#1,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,"{""ImportId"":""QID79#1_1""}",4,3,1,,,3,4,2,1,1,3,1,3,1,3,2,,1,1,5,1,,,3,,1,4,3,5,1,2,4
Q79#2_1,QID79#2,1,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,"{""ImportId"":""QID79#2_1""}",2,3,5,,,4,,2,5,5,3,5,4,5,3,1,,5,5,4,5,,,3,,5,4,5,2,5,4,2
Q80#1_1,GODSPEED1,1,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,"{""ImportId"":""QID80#1_1""}",4,4,4,4,2,3,4,2,2,4,2,2,3,4,4,3,5,2,1,3,2,3,4,2,2,3,4,2,4,1,2,2
Q80#1_2,GODSPEED1,2,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,"{""ImportId"":""QID80#1_2""}",3,3,2,2,2,3,2,3,1,4,2,2,3,3,4,5,4,1,2,3,2,2,4,2,2,3,5,2,4,3,2,4
Q80#1_3,GODSPEED1,3,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,"{""ImportId"":""QID80#1_3""}",4,4,4,2,4,3,4,2,1,3,1,1,2,4,4,1,4,4,5,4,3,3,4,4,1,4,1,3,4,3,3,3
Q80#1_4,GODSPEED1,4,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,"{""ImportId"":""QID80#1_4""}",3,4,2,2,1,2,2,2,1,4,2,1,2,2,4,3,4,1,1,4,2,4,4,2,2,4,3,3,3,1,2,4
Q80#1_5,GODSPEED1,5,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,"{""ImportId"":""QID80#1_5""}",2,2,3,1,1,3,4,2,2,5,2,2,3,1,3,5,3,2,3,3,2,4,3,2,1,3,5,3,2,3,1,4
Q80#1_6,GODSPEED1,6,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,"{""ImportId"":""QID80#1_6""}",4,3,4,1,1,3,4,2,1,1,2,2,3,2,5,4,3,3,4,4,3,4,2,3,1,4,2,4,2,4,1,4
Q80#1_7,GODSPEED1,7,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,"{""ImportId"":""QID80#1_7""}",3,3,3,2,4,3,4,3,2,4,3,1,3,4,4,5,3,3,3,3,3,4,3,4,1,3,3,4,2,3,2,4
Q80#1_8,GODSPEED1,8,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,"{""ImportId"":""QID80#1_8""}",4,2,2,3,1,2,3,2,1,3,1,2,3,2,3,1,4,2,2,3,2,2,4,2,2,3,4,3,3,1,1,3
Q80#1_9,GODSPEED1,9,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,"{""ImportId"":""QID80#1_9""}",4,2,3,2,1,3,2,2,1,3,2,2,3,1,4,4,4,1,1,4,2,2,2,2,2,4,3,4,3,1,1,4
Q80#1_10,GODSPEED1,10,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,"{""ImportId"":""QID80#1_10""}",3,4,4,4,4,3,3,2,3,4,3,2,2,2,4,4,3,4,4,3,3,5,4,4,3,3,4,3,4,4,3,4
Q80#1_11,GODSPEED1,11,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,"{""ImportId"":""QID80#1_11""}",4,4,4,4,5,2,4,3,2,5,2,2,3,2,4,2,4,2,4,3,4,4,4,5,3,4,3,3,4,3,4,4
Q80#1_12,GODSPEED1,12,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,"{""ImportId"":""QID80#1_12""}",2,4,4,3,3,3,4,2,1,4,2,3,3,2,4,4,5,3,1,5,3,5,5,3,3,5,2,2,4,4,5,3
Q80#1_13,GODSPEED1,13,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,"{""ImportId"":""QID80#1_13""}",2,5,5,3,4,2,4,2,1,4,3,3,2,2,5,2,4,4,4,4,2,5,4,4,2,5,3,3,4,4,4,4
Q80#1_14,GODSPEED1,14,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,"{""ImportId"":""QID80#1_14""}",4,4,4,2,4,3,4,2,2,4,3,3,3,1,5,4,4,3,3,4,3,5,3,4,3,5,4,3,3,4,3,4
Q80#1_15,GODSPEED1,15,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,"{""ImportId"":""QID80#1_15""}",3,4,4,4,4,2,1,3,2,4,2,4,3,2,5,1,5,5,5,4,2,5,2,4,3,5,5,3,4,4,5,4
Q80#1_16,GODSPEED1,16,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,"{""ImportId"":""QID80#1_16""}",5,5,3,4,4,3,2,2,3,4,2,4,3,2,5,1,4,4,5,3,3,5,4,4,4,4,3,3,4,4,3,4
Q80#1_17,GODSPEED1,17,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,"{""ImportId"":""QID80#1_17""}",3,4,4,4,4,3,2,2,3,4,2,4,2,3,4,4,4,3,1,3,3,4,3,4,4,5,5,3,5,4,4,4
Q80#1_18,GODSPEED1,18,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,"{""ImportId"":""QID80#1_18""}",4,4,5,4,5,3,4,2,3,5,1,4,3,4,4,1,4,4,2,3,2,4,4,4,2,5,4,3,4,4,4,4
Q80#1_19,GODSPEED1,19,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,"{""ImportId"":""QID80#1_19""}",2,5,3,5,3,3,4,2,3,4,3,4,3,3,4,1,4,4,2,3,3,3,2,3,2,5,3,2,5,4,1,3
Q80#1_20,GODSPEED1,20,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,"{""ImportId"":""QID80#1_20""}",2,4,5,5,4,4,4,2,1,4,2,4,3,4,4,3,5,4,1,3,3,4,2,4,3,5,4,2,4,4,3,4
Q80#1_21,GODSPEED1,21,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,"{""ImportId"":""QID80#1_21""}",4,4,4,5,4,3,2,3,4,5,3,4,3,4,4,2,4,3,2,3,2,4,1,5,4,5,3,3,4,4,3,3
Q80#1_22,GODSPEED1,22,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,"{""ImportId"":""QID80#1_22""}",3,3,3,2,5,3,2,2,3,4,5,2,3,3,4,1,4,1,5,3,4,5,3,2,3,4,3,3,4,3,2,4
Q80#1_23,GODSPEED1,23,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,"{""ImportId"":""QID80#1_23""}",2,3,4,5,5,3,4,2,3,4,5,3,2,4,4,4,4,4,5,3,3,5,2,3,3,4,1,3,5,3,3,4
Q80#1_24,GODSPEED1,24,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,"{""ImportId"":""QID80#1_24""}",4,2,2,1,2,3,2,2,3,2,1,1,3,2,3,3,4,2,1,3,3,3,2,3,1,3,1,3,4,2,4,3
Q80#2_1,GODSPEED2,1,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,"{""ImportId"":""QID80#2_1""}",5,4,2,4,2,4,2,2,4,2,1,4,4,2,2,4,2,4,5,3,4,3,3,4,2,3,5,4,2,1,4,4
Q80#2_2,GODSPEED2,2,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,"{""ImportId"":""QID80#2_2""}",4,4,4,2,2,4,4,2,1,2,1,4,4,3,2,2,5,4,2,3,4,2,2,4,2,2,5,4,2,3,3,2
Q80#2_3,GODSPEED2,3,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,"{""ImportId"":""QID80#2_3""}",2,3,2,2,4,4,2,2,1,3,1,4,3,2,3,1,4,5,5,3,5,3,3,4,1,2,1,3,2,5,4,3
Q80#2_4,GODSPEED2,4,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,"{""ImportId"":""QID80#2_4""}",3,3,2,2,1,3,4,2,1,2,1,4,4,2,4,5,4,1,1,3,3,3,3,2,2,2,4,3,2,1,3,2
Q80#2_5,GODSPEED2,5,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,"{""ImportId"":""QID80#2_5""}",5,2,3,1,1,3,3,2,3,1,2,2,4,1,3,1,5,2,3,3,3,4,2,4,1,2,5,3,2,5,4,2
Q80#2_6,GODSPEED2,6,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,"{""ImportId"":""QID80#2_6""}",2,3,2,1,1,4,3,2,1,1,1,3,3,2,5,2,3,3,4,3,4,4,3,3,1,4,3,4,2,5,1,2
Q80#2_7,GODSPEED2,7,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,"{""ImportId"":""QID80#2_7""}",5,3,3,2,4,4,4,2,4,2,2,4,3,2,4,4,4,4,4,3,4,4,3,4,1,3,3,4,2,3,2,2
Q80#2_8,GODSPEED2,8,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,"{""ImportId"":""QID80#2_8""}",2,2,2,3,1,3,4,2,1,2,1,3,4,1,3,2,4,3,2,3,2,2,2,3,2,3,3,3,1,1,1,3
Q80#2_9,GODSPEED2,9,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,"{""ImportId"":""QID80#2_9""}",2,2,2,2,1,4,4,2,1,3,1,2,3,1,3,4,4,2,1,3,2,2,2,2,2,4,4,4,2,4,3,2
Q80#2_10,GODSPEED2,10,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,"{""ImportId"":""QID80#2_10""}",3,4,3,4,3,3,3,2,4,3,3,2,3,2,3,3,3,4,4,2,3,4,2,4,3,3,5,4,2,5,4,4
Q80#2_11,GODSPEED2,11,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,"{""ImportId"":""QID80#2_11""}",5,4,4,5,5,4,3,2,2,3,1,3,4,1,4,3,4,2,4,3,4,4,3,5,3,4,4,4,2,3,3,4
Q80#2_12,GODSPEED2,12,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,"{""ImportId"":""QID80#2_12""}",3,4,3,4,3,4,4,2,3,3,1,4,4,1,4,2,3,4,3,3,4,5,4,3,3,5,4,4,2,5,5,3
Q80#2_13,GODSPEED2,13,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,"{""ImportId"":""QID80#2_13""}",3,5,4,3,4,3,4,2,5,2,2,4,3,1,5,4,3,5,4,2,3,5,4,4,2,5,4,4,2,5,4,4
Q80#2_14,GODSPEED2,14,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,"{""ImportId"":""QID80#2_14""}",2,4,3,2,4,4,4,2,5,3,3,3,4,1,5,4,2,4,3,3,3,5,2,4,3,5,4,4,2,5,3,3
Q80#2_15,GODSPEED2,15,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,"{""ImportId"":""QID80#2_15""}",1,4,4,4,4,3,1,2,3,3,2,4,3,1,5,4,3,4,5,3,3,5,2,4,3,5,5,4,3,5,5,3
Q80#2_16,GODSPEED2,16,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,"{""ImportId"":""QID80#2_16""}",5,5,3,4,4,4,2,2,4,4,2,4,3,2,5,1,3,3,5,3,4,5,3,4,4,4,4,4,2,5,4,4
Q80#2_17,GODSPEED2,17,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,"{""ImportId"":""QID80#2_17""}",3,3,4,5,3,4,3,2,3,2,2,4,4,1,4,3,3,4,4,2,4,4,3,3,4,5,5,4,2,4,4,3
Q80#2_18,GODSPEED2,18,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,"{""ImportId"":""QID80#2_18""}",3,4,4,4,4,4,3,2,4,3,1,3,4,1,4,1,3,5,4,3,3,4,4,4,2,4,4,4,2,4,4,3
Q80#2_19,GODSPEED2,19,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,"{""ImportId"":""QID80#2_19""}",2,4,2,5,4,4,4,2,3,2,3,2,4,3,4,2,3,4,5,3,4,3,2,3,2,5,3,4,1,4,2,3
Q80#2_20,GODSPEED2,20,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,"{""ImportId"":""QID80#2_20""}",5,4,5,5,3,3,3,2,1,2,1,3,4,2,4,2,3,4,3,3,3,4,3,3,3,5,4,4,2,4,3,2
Q80#2_21,GODSPEED2,21,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,"{""ImportId"":""QID80#2_21""}",3,4,4,5,2,4,2,2,4,1,3,3,3,2,4,1,2,5,3,4,3,3,1,4,4,3,3,4,2,4,3,3
Q80#2_22,GODSPEED2,22,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,"{""ImportId"":""QID80#2_22""}",5,3,4,2,5,4,2,2,3,3,5,4,3,2,3,3,3,4,5,4,3,5,2,4,3,3,3,4,2,5,4,4
Q80#2_23,GODSPEED2,23,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,"{""ImportId"":""QID80#2_23""}",2,3,5,5,5,4,2,2,3,3,5,4,4,2,3,4,3,5,5,3,4,5,2,4,3,2,3,4,5,5,4,4
Q80#2_24,GODSPEED2,24,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,"{""ImportId"":""QID80#2_24""}",5,2,2,1,2,4,2,2,3,4,1,1,3,3,3,5,3,4,1,3,4,3,3,3,1,4,1,3,4,2,4,3
Q81_Page Submit,GODSPEED2,response_time,Timing - Page Submit,"{""ImportId"":""QID81_PAGE_SUBMIT""}",32.104,99.215,168.559,135.315,151.205,43.78,232.14,10.562,144.975,178.731,200.852,153.301,100.025,159.779,173.884,58.821,242.624,118.056,393.865,70.428,196.271,174.825,229.509,184.043,177.635,290.349,516.364,178.86,200.161,403.507,121.415,664.86
Q110,QID110,,Which robot would you prefer?,"{""ImportId"":""QID110""}",5,4,5,4,5,4,5,5,4,5,5,5,4,5,5,5,5,4,4,5,4,4,5,5,4,5,4,4,5,4,4,5
Q111,QID111,"TEXT""}",Why do you prefer this robot?,"{""ImportId"":""QID111_TEXT""}",Blue had more personality and seemed more human,"I agreed with Red's choices more, as they seemed slightly more open-minded and resourceful than Blue's",I seemed to agree with the blue robots assessments more than reds.,"The red robot just seemed to agree with my personal preferences more. Also, for some reason, I kept getting a blackjack metaphor in my head when I was thinking about these answers (math, perhaps.)",I agreed with more of its rankings than I did the red robot,is more precise ,i prefer that robot because it looks more human in its thinking and ability to anylize problems,ftg,"Hard to describe. Mostly off of just a gut feeling of how I would interact with this machine. I tried to assign human-like personalities to each robot, but found it difficult since at its core, it is just a machine. To be honest, a large portion of this decision is probably a result of my aesthetic preferences (color). I hate most shades of blue as they remind me of being drowsy.  ",Blue seemed to be more lifelike and I could relate to the blue robot more.,"The way it talked and responded to questions in the videos seemed slightly more natural and appropriate overall when compared to the red robot. I'm not sure exactly why, but the blue robot made me feel more comfortable in general.",I agreed with this robot more often and I thought it had the best thinking ability.,i Like Red because she is more precise and correct in the answers she gives ,It seemed more animated and logical,He had more human-like qualities like the way he brought his hand up to his mouth as he was thinking of his answers. ,They are both OK. I think blue has somewhat better answers.,He seems natural to me,I thought the prioritizing of the list task was better accomplished by the red robot,This robot was more accurate in the sequences of the presented situations,more reasonaBLE,This robot seems to have more expression and seems kinder and more trustworthy,It seemed to think of the answers faster,It seemed to move more freely and speak with a flow a tad bit better than the red one.,I just seemed to always pick its answers so I identify with it because it thinks like me.,I'm not sure. Maybe the red one because they just seemed a little warmer than the other one. But really I think they were identical for the most part.,I felt the robot was more calm and collected with it's responses. It was less emotional overall and it's speech was softer in comparison with the red robot. The red robot seemed a bit louder and agitated. ,It's movements seemed more coordinated and smooth. More natural.,it seems to be the more competent of the 2 robots,I liked the way it listed the options and  it seemed to narrow them down.,"To be honest I just love the color red and when I was looking at this robot, it made me change my mind about how I feel when it comes to artificial intelligence. I was thinking to myself, how I would like a robot just like a red one. I wish I could own one and I'd make it my friend. ",Seems less jerky in its movements and I like red,I felt this robot was more intelligent with more lifelike qualities
survey_code,survey,"code""}",survey_code,"{""ImportId"":""survey_code""}",91474527,14336078,65409180,55766458,86206571,58803917,40081079,66883878,58696018,57888577,25748656,54755540,24787738,66697570,60366320,52663717,30278437,25546526,65296967,96838109,61099301,41224881,49741214,51553241,11846897,32303317,18409974,74952459,99952033,20055821,33984209,50365792
0,red_robot,deployment,side,,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right,right
0,red_robot,deployment,rationality,,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational
0,blue_robot,deployment,side,,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left,left
0,blue_robot,deployment,rationality,,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational
