,rationality,color,side,Q5.1,Q7.1,Q10.1,Q12.1,Q14.1,Q16.1,Q18.1,investments,analyst,jury,bartender,prefer,gender,education,age,userID,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,GODSPEED1_S1,GODSPEED1_S2,GODSPEED1_S3,GODSPEED1_S4,GODSPEED1_S5
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,R_3sgkqeXS5mSH5qt,0.0,0.3,0.6666666666666666,0.75,0.5555555555555556,0.0,0.25,0.525,0.75,0.3333333333333333,0.0,0.2,0.6666666666666666
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,34,R_3nHt10lYNAiQigG,0.3333333333333333,0.8,0.3333333333333333,0.3125,0.4814814814814815,0.8518518518518519,0.5,0.6666666666666667,0.5833333333333333,0.5833333333333334,0.4,0.4,0.3333333333333333
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,R_3RgVGyKsN0qt4Hf,0.2222222222222222,0.5333333333333333,0.5,0.3125,0.6296296296296297,0.7777777777777778,0.5416666666666667,0.725,0.75,0.5,0.5999999999999999,0.5333333333333333,0.0
3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,30,R_12Rc88NieRTaw5S,0.0,0.2,0.3333333333333333,0.6666666666666667,0.4444444444444444,0.5277777777777778,0.78125,0.9,0.0,0.0,0.2,0.0,0.0
4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,19,R_1ISCgMjTBzjsb7s,0.3333333333333333,0.5,0.0,0.29166666666666663,0.8888888888888888,0.5555555555555556,0.75,0.6333333333333334,0.25,0.3888888888888888,0.6666666666666667,0.4666666666666666,0.6666666666666666
5,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,5,26,R_2Ce9onUvQQjCiGS,0.5,0.8,0.6666666666666666,0.4166666666666667,0.5,0.6666666666666666,0.75,0.7,0.5,0.3333333333333333,0.4,0.5,0.3333333333333333
6,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,5,41,R_27x7GeRCFbfA0Ps,0.8333333333333334,0.2,0.6666666666666666,0.125,0.6666666666666666,0.7222222222222222,0.125,0.55,0.25,0.4444444444444445,0.8,0.6,0.6666666666666666
7,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,5,33,R_3Rf85R89Bo46ARh,0.3333333333333333,0.4,0.6666666666666666,0.65625,0.5833333333333334,0.5277777777777778,0.46875,0.475,0.375,0.5000000000000001,0.4,0.45,0.5
8,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,4,26,R_3QGhT2z79AhcQ7w,0.5,0.5,0.6666666666666666,0.6875,0.4444444444444444,0.6666666666666666,0.5625,0.6,0.75,0.5,0.5,0.4,0.0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,34,R_248jSr60q0E4zMP,0.3333333333333333,0.4,0.0,0.1875,0.1388888888888889,0.0,0.3125,0.45,0.0,0.3333333333333333,0.5,0.4,0.6666666666666666
10,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,6,31,R_2q4YVOKOy4M9l69,0.6666666666666666,0.4,0.0,0.4375,0.6666666666666666,0.4444444444444444,0.5,0.5,0.5,0.25,0.5,0.4,0.6666666666666666
11,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,30,R_29tqGQIajUZLeeE,0.4166666666666667,0.6,0.0,0.1875,0.4444444444444444,0.8888888888888888,0.75,0.0,0.25,0.0,0.0,0.8,0.3333333333333333
12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,51,R_2tJziYe9uwnAkKg,0.5,0.6,0.0,0.3750000000000001,0.0,0.7777777777777778,0.25,0.6333333333333333,0.0,0.3888888888888889,0.6,0.4,0.6666666666666666
13,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,49,R_9WWazB6nQFvh22l,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.625,0.7777777777777778,0.8888888888888888,0.29166666666666663,0.6,0.5,0.4166666666666667,0.6,0.4666666666666667,0.3333333333333333
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,36,R_27lporB8KdYdZ4I,0.25,0.6,0.4444444444444444,0.5,0.5925925925925927,0.1111111111111111,0.3333333333333333,0.3,0.5,0.2777777777777778,0.4,0.8,0.3333333333333333
15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,31,R_2ZDIJ20soWQHNO1,0.0,0.2,0.5,0.625,0.6296296296296295,0.7222222222222222,0.4166666666666667,0.625,0.5,0.5,0.4,0.0,0.0
16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33,R_5cHR7KRgL6TG6BP,0.16666666666666666,0.4,0.3333333333333333,0.375,0.5185185185185185,0.6666666666666666,0.6250000000000001,0.9,0.5,0.0,0.8,0.4,0.0
17,2,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,3,59,R_3kjmdYqKVTQmctW,0.16666666666666666,0.6,0.6666666666666666,0.25,0.7777777777777778,0.8888888888888888,0.125,0.55,0.25,0.5,0.8,0.0,0.0
18,2,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,5,34,R_1H7z3OpAcVKon5o,0.16666666666666666,0.4,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5,0.8,0.0,0.0,0.6,0.4,0.0
19,2,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,6,35,R_3rYeFmjlA6JRzCz,0.4583333333333333,0.5,0.6666666666666666,0.5,0.5,0.5555555555555556,0.75,0.475,0.5,0.5833333333333334,0.4,0.55,0.4444444444444444
20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,25,R_1jvUWvCVrHxOPaP,0.0,0.4,0.6666666666666666,0.25,0.7222222222222222,0.4444444444444444,0.75,0.45,0.5,0.16666666666666666,0.0,0.0,0.0
21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,29,R_26evzLJuqRk5deP,0.0,0.6,0.5,0.5625,0.8888888888888888,0.0,0.125,0.8,0.75,0.0,0.0,0.0,0.0
22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,44,R_22FSTkafmtA1lko,0.5,0.2,0.3333333333333333,0.625,0.5555555555555556,0.7222222222222222,0.625,0.75,0.5,0.8333333333333334,0.6,0.6,0.6666666666666666
23,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,R_PYBWyCicsAE42Pv,0.0,0.8,0.3333333333333333,0.5625,0.5555555555555556,0.7777777777777778,0.5416666666666666,0.6,0.0,0.0,0.0,0.0,0.0
24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,R_2TnsysyJA578QCH,0.4444444444444445,0.5,0.3333333333333333,0.75,0.5277777777777778,0.4444444444444444,0.4583333333333333,0.6666666666666667,0.375,0.5,0.0,0.4,0.0
25,2,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,5,29,R_2Y99vmvmZD9Igrn,0.8333333333333334,0.6,0.0,0.53125,0.7777777777777778,0.7777777777777778,0.375,0.6,0.5,0.4000000000000001,0.4400000000000001,0.45,0.6666666666666666
26,2,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,5,33,R_1l011tD1Bg8DQy2,0.16666666666666666,0.5,0.3333333333333333,0.5625,0.2222222222222222,0.0,0.5,0.55,0.5,0.5,0.8,0.8,0.4444444444444444
27,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,5,32,R_2OJD0HQHgnW7TIm,0.5833333333333334,0.0,0.6666666666666666,0.25,0.5185185185185185,0.3333333333333333,0.875,0.2333333333333333,0.25,0.4166666666666667,0.0,0.3,0.6666666666666666
28,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,4,33,R_3qTJSADRUn7a3j2,0.5,0.6,0.5,0.25,0.4444444444444444,0.6666666666666666,0.125,0.65,0.0,0.3888888888888889,0.0,0.4,0.6666666666666666
29,2,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,5,28,R_2RRoxZuuBYPUMJT,0.5833333333333334,0.6,0.5833333333333334,0.375,0.5,0.4166666666666667,0.5625,0.575,0.375,0.4444444444444444,0.4666666666666667,0.4,0.6666666666666666
30,2,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,5,24,R_1gSznyOVNi7tr7h,0.75,0.4,0.0,0.1875,0.3703703703703705,0.5,0.5625,0.6,0.25,0.16666666666666666,0.8,0.4,0.5555555555555556
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22,R_883i94DV4dQuEiR,0.4444444444444445,0.55,0.3333333333333333,0.2083333333333333,0.7222222222222222,0.5833333333333334,0.5,0.75,0.25,0.16666666666666666,0.7,0.4,0.6666666666666666
32,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,36,R_1pAIbETAQh0OTju,0.3333333333333333,0.4,0.4444444444444444,0.75,0.8888888888888888,0.0,0.125,0.9,0.75,0.5,0.4,0.5,0.3333333333333333
33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,32,R_20USM6QIIwJ3t96,0.8333333333333334,0.6,0.6666666666666666,0.75,0.1111111111111111,0.1111111111111111,0.875,0.45,0.5,0.16666666666666666,0.6,0.8,0.6666666666666666
34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,30,R_3qfISvr9FrgFkqw,0.3888888888888888,0.5333333333333334,0.6666666666666666,0.375,0.7777777777777778,0.6666666666666666,0.625,0.5666666666666667,0.5,0.6666666666666666,0.7,0.5,0.5
35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,32,R_1gvGFbzDteCjD5W,0.4444444444444445,0.26666666666666666,0.5555555555555555,0.6875,0.5555555555555556,0.5555555555555556,0.375,0.5,0.5,0.3888888888888889,0.4,0.5,0.5
36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,32,R_O1Zv6hG8jcH7cyZ,0.5,0.3,0.3333333333333333,0.4583333333333333,0.5277777777777778,0.7037037037037037,0.375,0.6,0.625,0.4166666666666667,0.6666666666666666,0.4,0.5
37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,41,R_2b3qU4SNylWBJvw,0.2916666666666667,0.5333333333333333,0.3333333333333333,0.375,0.8888888888888888,0.1111111111111111,0.625,0.7333333333333333,0.4166666666666667,0.2916666666666667,0.5,0.4666666666666667,0.5
38,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,5,31,R_3sgkqeXS5mSH5qt,0.0,0.3,0.6666666666666666,0.75,0.5555555555555556,0.0,0.25,0.525,0.0,0.16666666666666666,0.8,0.3,0.6666666666666666
39,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,5,34,R_3nHt10lYNAiQigG,0.3333333333333333,0.8,0.3333333333333333,0.3125,0.4814814814814815,0.8518518518518519,0.5,0.6666666666666667,0.5,0.5,0.8,0.8,0.6666666666666666
40,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,2,36,R_3RgVGyKsN0qt4Hf,0.2222222222222222,0.5333333333333333,0.5,0.3125,0.6296296296296297,0.7777777777777778,0.5416666666666667,0.725,0.4166666666666666,0.5833333333333334,0.5,0.5333333333333333,0.0
41,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,3,30,R_12Rc88NieRTaw5S,0.0,0.2,0.3333333333333333,0.6666666666666667,0.4444444444444444,0.5277777777777778,0.78125,0.9,0.0,0.0,0.2,0.0,0.0
42,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,3,19,R_1ISCgMjTBzjsb7s,0.3333333333333333,0.5,0.0,0.29166666666666663,0.8888888888888888,0.5555555555555556,0.75,0.6333333333333334,0.625,0.4444444444444444,0.6,0.4666666666666666,0.6666666666666666
43,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,26,R_2Ce9onUvQQjCiGS,0.5,0.8,0.6666666666666666,0.4166666666666667,0.5,0.6666666666666666,0.75,0.7,0.6666666666666666,0.6666666666666666,0.6,0.5333333333333333,0.6666666666666666
44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,41,R_27x7GeRCFbfA0Ps,0.8333333333333334,0.2,0.6666666666666666,0.125,0.6666666666666666,0.7222222222222222,0.125,0.55,0.25,0.4444444444444445,0.6,0.4,0.6666666666666666
45,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,33,R_3Rf85R89Bo46ARh,0.3333333333333333,0.4,0.6666666666666666,0.65625,0.5833333333333334,0.5277777777777778,0.46875,0.475,0.25,0.3888888888888889,0.4,0.4,0.5
46,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,R_3QGhT2z79AhcQ7w,0.5,0.5,0.6666666666666666,0.6875,0.4444444444444444,0.6666666666666666,0.5625,0.6,0.0,0.5833333333333334,0.2,0.6,0.6666666666666666
47,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,34,R_248jSr60q0E4zMP,0.3333333333333333,0.4,0.0,0.1875,0.1388888888888889,0.0,0.3125,0.45,0.0,0.0,0.6,0.5,0.0
48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,31,R_2q4YVOKOy4M9l69,0.6666666666666666,0.4,0.0,0.4375,0.6666666666666666,0.4444444444444444,0.5,0.5,0.5,0.4166666666666667,0.5,0.4,0.6666666666666666
49,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,30,R_29tqGQIajUZLeeE,0.4166666666666667,0.6,0.0,0.1875,0.4444444444444444,0.8888888888888888,0.75,0.0,0.0,0.0,0.0,0.0,0.0
50,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,4,51,R_2tJziYe9uwnAkKg,0.5,0.6,0.0,0.3750000000000001,0.0,0.7777777777777778,0.25,0.6333333333333333,0.0,0.3888888888888889,0.6,0.4,0.6666666666666666
51,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,2,49,R_9WWazB6nQFvh22l,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.625,0.7777777777777778,0.8888888888888888,0.29166666666666663,0.6,0.5,0.4166666666666667,0.6,0.5333333333333334,0.3333333333333333
52,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,36,R_27lporB8KdYdZ4I,0.25,0.6,0.4444444444444444,0.5,0.5925925925925927,0.1111111111111111,0.3333333333333333,0.3,0.4166666666666666,0.4444444444444444,0.6,0.4,0.3333333333333333
53,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,5,31,R_2ZDIJ20soWQHNO1,0.0,0.2,0.5,0.625,0.6296296296296295,0.7222222222222222,0.4166666666666667,0.625,0.25,0.6666666666666666,0.0,0.6,0.3333333333333333
54,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,33,R_5cHR7KRgL6TG6BP,0.16666666666666666,0.4,0.3333333333333333,0.375,0.5185185185185185,0.6666666666666666,0.6250000000000001,0.9,0.25,0.0,0.8,0.4,0.0
55,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,3,59,R_3kjmdYqKVTQmctW,0.16666666666666666,0.6,0.6666666666666666,0.25,0.7777777777777778,0.8888888888888888,0.125,0.55,0.75,0.5,0.4,0.8,0.3333333333333333
56,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,5,34,R_1H7z3OpAcVKon5o,0.16666666666666666,0.4,0.5,0.5,0.5555555555555556,0.5555555555555556,0.5,0.8,0.0,0.0,0.6,0.4,0.0
57,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,6,35,R_3rYeFmjlA6JRzCz,0.4583333333333333,0.5,0.6666666666666666,0.5,0.5,0.5555555555555556,0.75,0.475,0.5625,0.5416666666666666,0.5,0.6,0.5
58,2,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,3,25,R_1jvUWvCVrHxOPaP,0.0,0.4,0.6666666666666666,0.25,0.7222222222222222,0.4444444444444444,0.75,0.45,0.5,0.4166666666666667,0.6,0.2,0.5
59,2,1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,2,29,R_26evzLJuqRk5deP,0.0,0.6,0.5,0.5625,0.8888888888888888,0.0,0.125,0.8,0.0,0.0,0.0,0.0,0.0
60,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,6,44,R_22FSTkafmtA1lko,0.5,0.2,0.3333333333333333,0.625,0.5555555555555556,0.7222222222222222,0.625,0.75,0.0,0.5555555555555556,0.6,0.4,0.0
61,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,5,26,R_PYBWyCicsAE42Pv,0.0,0.8,0.3333333333333333,0.5625,0.5555555555555556,0.7777777777777778,0.5416666666666666,0.6,0.0,0.0,0.0,0.0,0.0
62,0,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,4,37,R_2TnsysyJA578QCH,0.4444444444444445,0.5,0.3333333333333333,0.75,0.5277777777777778,0.4444444444444444,0.4583333333333333,0.6666666666666667,0.25,0.4444444444444445,0.8,0.2,0.0
63,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,R_2Y99vmvmZD9Igrn,0.8333333333333334,0.6,0.0,0.53125,0.7777777777777778,0.7777777777777778,0.375,0.6,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.4,0.5555555555555555
64,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,5,33,R_1l011tD1Bg8DQy2,0.16666666666666666,0.5,0.3333333333333333,0.5625,0.2222222222222222,0.0,0.5,0.55,0.5,0.5,0.6,0.4,0.4444444444444444
65,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,5,32,R_2OJD0HQHgnW7TIm,0.5833333333333334,0.0,0.6666666666666666,0.25,0.5185185185185185,0.3333333333333333,0.875,0.2333333333333333,0.5,0.4166666666666667,0.0,0.4,0.0
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,33,R_3qTJSADRUn7a3j2,0.5,0.6,0.5,0.25,0.4444444444444444,0.6666666666666666,0.125,0.65,0.0,0.3888888888888889,0.0,0.0,0.0
67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,28,R_2RRoxZuuBYPUMJT,0.5833333333333334,0.6,0.5833333333333334,0.375,0.5,0.4166666666666667,0.5625,0.575,0.5,0.2777777777777777,0.4,0.25,0.5
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,24,R_1gSznyOVNi7tr7h,0.75,0.4,0.0,0.1875,0.3703703703703705,0.5,0.5625,0.6,0.25,0.4166666666666667,0.0,0.33333333333333337,0.5555555555555556
69,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,5,22,R_883i94DV4dQuEiR,0.4444444444444445,0.55,0.3333333333333333,0.2083333333333333,0.7222222222222222,0.5833333333333334,0.5,0.75,0.6666666666666667,0.25,0.7,0.7,0.6666666666666666
70,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,5,36,R_1pAIbETAQh0OTju,0.3333333333333333,0.4,0.4444444444444444,0.75,0.8888888888888888,0.0,0.125,0.9,0.625,0.5,0.4,0.4,0.3333333333333333
71,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,32,R_20USM6QIIwJ3t96,0.8333333333333334,0.6,0.6666666666666666,0.75,0.1111111111111111,0.1111111111111111,0.875,0.45,0.75,0.16666666666666666,0.8,0.8,0.6666666666666666
72,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,4,30,R_3qfISvr9FrgFkqw,0.3888888888888888,0.5333333333333334,0.6666666666666666,0.375,0.7777777777777778,0.6666666666666666,0.625,0.5666666666666667,0.5,0.6666666666666666,0.6,0.2,0.3333333333333333
73,2,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,5,32,R_1gvGFbzDteCjD5W,0.4444444444444445,0.26666666666666666,0.5555555555555555,0.6875,0.5555555555555556,0.5555555555555556,0.375,0.5,0.75,0.5000000000000001,0.5,0.5,0.3333333333333333
74,2,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,5,32,R_O1Zv6hG8jcH7cyZ,0.5,0.3,0.3333333333333333,0.4583333333333333,0.5277777777777778,0.7037037037037037,0.375,0.6,0.75,0.3333333333333333,0.5,0.6,0.5
75,2,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,2,41,R_2b3qU4SNylWBJvw,0.2916666666666667,0.5333333333333333,0.3333333333333333,0.375,0.8888888888888888,0.1111111111111111,0.625,0.7333333333333333,0.375,0.375,0.8,0.8,0.3333333333333333
