,Q9,Q11,Q16,Q14,Q18,Q20,Q22,side,rationality,Gender,Age,Education,Extroversion,Extroversion,Agreeableness,Agreeableness,Conscientiousness,Conscientiousness,Neuroticism,Neuroticism,Openness,Openness
0,1,1,1,1,1,0,1,right,rational,2,33,5,3.0,3.0,2.25,2.25,2.25,2.25,2.6666666666666665,2.6666666666666665,3.5,3.5
1,1,1,1,0,1,0,1,right,rational,1,31,4,2.0,2.0,3.75,3.75,2.75,2.75,2.3333333333333335,2.3333333333333335,2.5,2.5
2,1,1,0,0,1,0,1,right,rational,1,40,2,1.3333333333333333,1.3333333333333333,4.5,4.5,5.0,5.0,1.0,1.0,3.5,3.5
3,0,1,0,0,1,0,1,right,rational,1,61,3,4.0,4.0,5.0,5.0,4.25,4.25,1.6666666666666667,1.6666666666666667,4.0,4.0
4,1,1,0,1,1,1,1,right,rational,1,32,5,2.3333333333333335,2.3333333333333335,2.25,2.25,2.0,2.0,2.0,2.0,2.0,2.0
5,0,1,0,1,0,0,1,right,rational,2,42,5,1.3333333333333333,1.3333333333333333,3.5,3.5,2.75,2.75,2.0,2.0,2.0,2.0
6,1,1,1,1,0,1,1,right,rational,2,24,5,1.3333333333333333,1.3333333333333333,4.0,4.0,3.25,3.25,2.6666666666666665,2.6666666666666665,2.5,2.5
7,1,1,0,1,0,1,1,right,rational,1,56,5,1.3333333333333333,1.3333333333333333,4.25,4.25,4.0,4.0,3.0,3.0,3.0,3.0
8,1,1,1,1,0,0,1,right,rational,1,42,6,2.0,2.0,3.5,3.5,2.0,2.0,2.0,2.0,3.0,3.0
9,1,1,1,1,0,1,0,right,rational,2,56,6,3.3333333333333335,3.3333333333333335,3.75,3.75,3.5,3.5,2.0,2.0,2.5,2.5
10,0,1,1,1,0,1,1,right,rational,2,44,3,2.0,2.0,4.75,4.75,4.5,4.5,1.6666666666666667,1.6666666666666667,3.5,3.5
11,0,1,1,0,0,0,1,right,rational,1,52,4,1.6666666666666667,1.6666666666666667,4.75,4.75,4.25,4.25,2.0,2.0,3.0,3.0
12,0,0,1,1,0,0,1,right,rational,2,27,3,1.3333333333333333,1.3333333333333333,3.75,3.75,4.0,4.0,2.0,2.0,3.5,3.5
13,1,1,0,0,0,1,1,right,rational,2,44,2,1.6666666666666667,1.6666666666666667,3.25,3.25,3.75,3.75,1.0,1.0,2.0,2.0
14,0,1,1,1,1,1,1,right,rational,2,63,6,2.6666666666666665,2.6666666666666665,4.75,4.75,4.5,4.5,2.0,2.0,4.0,4.0
15,1,1,1,1,1,0,1,right,rational,2,30,2,1.0,1.0,3.5,3.5,3.25,3.25,2.0,2.0,2.0,2.0
16,0,0,0,1,1,0,0,right,rational,2,46,2,1.0,1.0,3.25,3.25,2.0,2.0,3.0,3.0,1.5,1.5
17,0,1,1,1,1,0,1,right,rational,2,34,2,2.3333333333333335,2.3333333333333335,4.75,4.75,5.0,5.0,1.0,1.0,2.5,2.5
18,1,1,0,1,1,1,1,right,rational,1,31,4,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0
19,1,1,1,1,1,1,1,right,rational,2,32,6,4.333333333333333,4.333333333333333,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0
20,0,1,0,0,1,1,1,left,rational,1,36,3,2.0,2.0,2.0,2.0,1.75,1.75,5.0,5.0,3.5,3.5
21,1,1,1,1,0,0,1,left,rational,1,43,6,1.6666666666666667,1.6666666666666667,3.25,3.25,2.75,2.75,2.3333333333333335,2.3333333333333335,4.5,4.5
22,1,1,1,0,1,1,1,left,rational,2,35,6,2.0,2.0,2.5,2.5,4.0,4.0,3.3333333333333335,3.3333333333333335,3.5,3.5
23,0,0,1,1,1,0,0,left,rational,1,47,2,2.3333333333333335,2.3333333333333335,4.75,4.75,4.25,4.25,2.3333333333333335,2.3333333333333335,3.0,3.0
24,1,1,1,0,0,0,0,left,rational,1,52,7,1.3333333333333333,1.3333333333333333,4.75,4.75,4.25,4.25,1.6666666666666667,1.6666666666666667,3.0,3.0
25,1,1,1,1,1,1,1,left,rational,2,35,6,1.6666666666666667,1.6666666666666667,2.5,2.5,4.0,4.0,3.0,3.0,3.0,3.0
26,1,1,1,0,1,1,0,left,rational,1,34,5,2.3333333333333335,2.3333333333333335,3.0,3.0,4.0,4.0,3.3333333333333335,3.3333333333333335,4.5,4.5
27,1,1,1,1,1,0,1,left,rational,2,39,6,3.0,3.0,4.0,4.0,4.0,4.0,1.6666666666666667,1.6666666666666667,2.5,2.5
28,1,1,1,1,1,0,1,left,rational,1,31,6,4.0,4.0,4.5,4.5,4.75,4.75,1.0,1.0,5.0,5.0
29,0,1,1,1,0,0,0,left,rational,2,34,5,2.6666666666666665,2.6666666666666665,2.5,2.5,4.0,4.0,3.0,3.0,4.0,4.0
30,1,1,0,1,1,1,1,left,rational,1,70,3,5.0,5.0,4.25,4.25,5.0,5.0,1.0,1.0,5.0,5.0
31,1,1,0,0,1,0,0,left,rational,1,24,3,2.0,2.0,4.75,4.75,3.25,3.25,2.6666666666666665,2.6666666666666665,2.0,2.0
32,0,1,0,0,0,0,0,left,rational,1,33,2,1.3333333333333333,1.3333333333333333,5.0,5.0,5.0,5.0,2.0,2.0,3.5,3.5
33,0,0,0,0,0,1,0,left,rational,1,51,4,4.0,4.0,2.5,2.5,2.5,2.5,3.3333333333333335,3.3333333333333335,3.5,3.5
34,0,1,0,1,1,1,1,left,rational,1,40,3,2.0,2.0,3.25,3.25,2.5,2.5,2.3333333333333335,2.3333333333333335,4.5,4.5
35,1,1,1,1,1,0,1,left,rational,2,33,5,3.0,3.0,3.5,3.5,3.25,3.25,1.6666666666666667,1.6666666666666667,3.5,3.5
36,1,0,1,0,0,0,0,left,rational,2,20,3,1.0,1.0,3.5,3.5,2.0,2.0,2.0,2.0,2.5,2.5
37,0,1,1,1,0,0,0,left,rational,1,25,5,1.0,1.0,2.75,2.75,2.25,2.25,2.0,2.0,1.0,1.0
0,1,1,1,1,1,1,1,right,rational,1,52,3,2.0,2.0,4.75,4.75,5.0,5.0,1.6666666666666667,1.6666666666666667,3.5,3.5
1,1,1,1,0,1,1,1,right,rational,2,33,5,3.3333333333333335,3.3333333333333335,3.0,3.0,2.5,2.5,3.3333333333333335,3.3333333333333335,4.5,4.5
2,1,1,1,1,1,0,1,right,rational,1,61,2,2.3333333333333335,2.3333333333333335,5.0,5.0,4.75,4.75,1.0,1.0,2.5,2.5
3,0,1,0,1,1,1,1,right,rational,2,55,8,2.0,2.0,4.25,4.25,5.0,5.0,2.0,2.0,3.0,3.0
4,0,1,0,1,0,1,1,right,rational,1,43,5,4.0,4.0,5.0,5.0,5.0,5.0,1.6666666666666667,1.6666666666666667,3.0,3.0
5,1,1,1,1,1,0,1,right,rational,2,43,6,1.0,1.0,4.0,4.0,3.5,3.5,2.6666666666666665,2.6666666666666665,4.5,4.5
6,1,1,1,0,0,0,1,right,rational,1,22,2,1.6666666666666667,1.6666666666666667,4.5,4.5,4.0,4.0,2.0,2.0,1.0,1.0
7,1,1,0,1,1,0,1,right,rational,1,28,4,2.6666666666666665,2.6666666666666665,1.75,1.75,2.5,2.5,1.6666666666666667,1.6666666666666667,1.0,1.0
8,1,1,1,0,1,0,1,right,rational,2,34,5,2.6666666666666665,2.6666666666666665,3.25,3.25,4.0,4.0,3.0,3.0,3.5,3.5
9,1,0,1,1,1,0,1,right,rational,2,36,2,1.0,1.0,4.25,4.25,4.5,4.5,3.6666666666666665,3.6666666666666665,3.0,3.0
10,0,0,1,1,0,1,1,right,rational,2,42,3,2.3333333333333335,2.3333333333333335,4.5,4.5,3.0,3.0,1.3333333333333333,1.3333333333333333,3.0,3.0
11,1,1,1,0,1,1,0,right,rational,2,24,5,3.6666666666666665,3.6666666666666665,3.75,3.75,2.75,2.75,1.0,1.0,4.0,4.0
12,0,0,0,0,0,1,1,right,rational,2,33,2,1.0,1.0,3.25,3.25,2.0,2.0,1.6666666666666667,1.6666666666666667,2.0,2.0
13,1,0,1,0,1,1,0,right,rational,2,45,3,2.0,2.0,4.0,4.0,3.25,3.25,2.0,2.0,3.5,3.5
14,1,0,1,1,1,1,1,right,rational,1,27,2,2.0,2.0,4.25,4.25,5.0,5.0,1.0,1.0,3.0,3.0
15,0,0,1,1,1,0,1,right,rational,2,36,3,2.0,2.0,3.75,3.75,4.0,4.0,1.0,1.0,2.0,2.0
16,1,0,1,1,1,0,0,right,rational,1,21,5,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
17,1,1,1,1,1,1,1,right,rational,1,36,4,2.6666666666666665,2.6666666666666665,4.5,4.5,3.75,3.75,2.0,2.0,2.0,2.0
18,1,1,1,1,1,0,1,right,rational,2,28,5,1.3333333333333333,1.3333333333333333,2.5,2.5,3.0,3.0,5.0,5.0,3.5,3.5
19,1,0,0,1,1,0,1,left,rational,2,37,2,2.0,2.0,2.75,2.75,2.25,2.25,3.6666666666666665,3.6666666666666665,3.5,3.5
20,0,1,1,0,1,1,1,left,rational,1,52,5,3.6666666666666665,3.6666666666666665,4.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0
21,1,0,1,0,0,0,0,left,rational,2,45,5,2.3333333333333335,2.3333333333333335,3.25,3.25,3.0,3.0,3.0,3.0,4.5,4.5
22,1,0,0,0,0,1,1,left,rational,2,32,6,1.0,1.0,4.25,4.25,4.25,4.25,2.6666666666666665,2.6666666666666665,3.0,3.0
23,1,0,1,0,1,1,0,left,rational,1,27,5,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0
24,1,1,1,1,1,0,1,left,rational,1,36,3,2.6666666666666665,2.6666666666666665,4.75,4.75,3.25,3.25,1.0,1.0,4.5,4.5
25,1,0,1,1,0,1,1,left,rational,1,67,2,1.0,1.0,5.0,5.0,4.25,4.25,1.0,1.0,1.5,1.5
26,0,0,0,0,1,0,0,left,rational,2,29,3,2.0,2.0,2.0,2.0,1.75,1.75,3.3333333333333335,3.3333333333333335,3.0,3.0
27,0,1,0,1,1,0,1,left,rational,1,35,2,4.0,4.0,3.75,3.75,4.5,4.5,4.0,4.0,4.5,4.5
28,1,1,1,1,1,0,1,left,rational,2,32,5,1.0,1.0,2.5,2.5,3.75,3.75,4.333333333333333,4.333333333333333,2.0,2.0
29,1,1,1,0,0,1,1,left,rational,2,28,4,2.3333333333333335,2.3333333333333335,2.75,2.75,3.25,3.25,1.6666666666666667,1.6666666666666667,3.0,3.0
30,1,0,1,1,1,0,0,left,rational,1,67,3,2.0,2.0,4.75,4.75,5.0,5.0,1.6666666666666667,1.6666666666666667,3.5,3.5
31,1,1,0,1,1,1,1,left,rational,1,28,6,2.6666666666666665,2.6666666666666665,4.0,4.0,4.25,4.25,1.0,1.0,3.5,3.5
32,1,0,0,0,0,0,0,left,rational,1,53,1,3.6666666666666665,3.6666666666666665,3.0,3.0,2.5,2.5,1.0,1.0,1.5,1.5
33,1,0,1,0,0,1,1,left,rational,1,62,5,2.3333333333333335,2.3333333333333335,3.25,3.25,4.0,4.0,2.0,2.0,4.5,4.5
34,1,1,1,0,1,0,1,left,rational,2,48,3,2.0,2.0,2.0,2.0,1.0,1.0,2.3333333333333335,2.3333333333333335,3.5,3.5
35,1,1,1,0,0,0,1,left,rational,1,52,7,1.3333333333333333,1.3333333333333333,4.75,4.75,4.5,4.5,2.0,2.0,2.5,2.5
36,1,1,1,0,0,1,1,left,rational,2,66,3,1.6666666666666667,1.6666666666666667,4.25,4.25,3.5,3.5,3.0,3.0,3.5,3.5
37,1,1,1,1,0,0,1,left,rational,2,46,3,1.6666666666666667,1.6666666666666667,4.0,4.0,4.5,4.5,1.0,1.0,1.0,1.0
38,1,1,0,1,0,1,1,left,rational,2,38,2,3.6666666666666665,3.6666666666666665,3.0,3.0,4.0,4.0,1.3333333333333333,1.3333333333333333,3.5,3.5
39,1,1,0,1,0,1,1,left,rational,2,35,3,2.0,2.0,4.0,4.0,4.0,4.0,1.3333333333333333,1.3333333333333333,2.0,2.0
0,0,0,0,0,0,1,0,left,irrational,2,33,5,3.0,3.0,2.25,2.25,2.25,2.25,2.6666666666666665,2.6666666666666665,3.5,3.5
1,0,0,0,1,0,1,0,left,irrational,1,31,4,2.0,2.0,3.75,3.75,2.75,2.75,2.3333333333333335,2.3333333333333335,2.5,2.5
2,0,0,1,1,0,1,0,left,irrational,1,40,2,1.3333333333333333,1.3333333333333333,4.5,4.5,5.0,5.0,1.0,1.0,3.5,3.5
3,1,0,1,1,0,1,0,left,irrational,1,61,3,4.0,4.0,5.0,5.0,4.25,4.25,1.6666666666666667,1.6666666666666667,4.0,4.0
4,0,0,1,0,0,0,0,left,irrational,1,32,5,2.3333333333333335,2.3333333333333335,2.25,2.25,2.0,2.0,2.0,2.0,2.0,2.0
5,1,0,1,0,1,1,0,left,irrational,2,42,5,1.3333333333333333,1.3333333333333333,3.5,3.5,2.75,2.75,2.0,2.0,2.0,2.0
6,0,0,0,0,1,0,0,left,irrational,2,24,5,1.3333333333333333,1.3333333333333333,4.0,4.0,3.25,3.25,2.6666666666666665,2.6666666666666665,2.5,2.5
7,0,0,1,0,1,0,0,left,irrational,1,56,5,1.3333333333333333,1.3333333333333333,4.25,4.25,4.0,4.0,3.0,3.0,3.0,3.0
8,0,0,0,0,1,1,0,left,irrational,1,42,6,2.0,2.0,3.5,3.5,2.0,2.0,2.0,2.0,3.0,3.0
9,0,0,0,0,1,0,1,left,irrational,2,56,6,3.3333333333333335,3.3333333333333335,3.75,3.75,3.5,3.5,2.0,2.0,2.5,2.5
10,1,0,0,0,1,0,0,left,irrational,2,44,3,2.0,2.0,4.75,4.75,4.5,4.5,1.6666666666666667,1.6666666666666667,3.5,3.5
11,1,0,0,1,1,1,0,left,irrational,1,52,4,1.6666666666666667,1.6666666666666667,4.75,4.75,4.25,4.25,2.0,2.0,3.0,3.0
12,1,1,0,0,1,1,0,left,irrational,2,27,3,1.3333333333333333,1.3333333333333333,3.75,3.75,4.0,4.0,2.0,2.0,3.5,3.5
13,0,0,1,1,1,0,0,left,irrational,2,44,2,1.6666666666666667,1.6666666666666667,3.25,3.25,3.75,3.75,1.0,1.0,2.0,2.0
14,1,0,0,0,0,0,0,left,irrational,2,63,6,2.6666666666666665,2.6666666666666665,4.75,4.75,4.5,4.5,2.0,2.0,4.0,4.0
15,0,0,0,0,0,1,0,left,irrational,2,30,2,1.0,1.0,3.5,3.5,3.25,3.25,2.0,2.0,2.0,2.0
16,1,1,1,0,0,1,1,left,irrational,2,46,2,1.0,1.0,3.25,3.25,2.0,2.0,3.0,3.0,1.5,1.5
17,1,0,0,0,0,1,0,left,irrational,2,34,2,2.3333333333333335,2.3333333333333335,4.75,4.75,5.0,5.0,1.0,1.0,2.5,2.5
18,0,0,1,0,0,0,0,left,irrational,1,31,4,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0
19,0,0,0,0,0,0,0,left,irrational,2,32,6,4.333333333333333,4.333333333333333,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0
20,1,0,1,1,0,0,0,right,irrational,1,36,3,2.0,2.0,2.0,2.0,1.75,1.75,5.0,5.0,3.5,3.5
21,0,0,0,0,1,1,0,right,irrational,1,43,6,1.6666666666666667,1.6666666666666667,3.25,3.25,2.75,2.75,2.3333333333333335,2.3333333333333335,4.5,4.5
22,0,0,0,1,0,0,0,right,irrational,2,35,6,2.0,2.0,2.5,2.5,4.0,4.0,3.3333333333333335,3.3333333333333335,3.5,3.5
23,1,1,0,0,0,1,1,right,irrational,1,47,2,2.3333333333333335,2.3333333333333335,4.75,4.75,4.25,4.25,2.3333333333333335,2.3333333333333335,3.0,3.0
24,0,0,0,1,1,1,1,right,irrational,1,52,7,1.3333333333333333,1.3333333333333333,4.75,4.75,4.25,4.25,1.6666666666666667,1.6666666666666667,3.0,3.0
25,0,0,0,0,0,0,0,right,irrational,2,35,6,1.6666666666666667,1.6666666666666667,2.5,2.5,4.0,4.0,3.0,3.0,3.0,3.0
26,0,0,0,1,0,0,1,right,irrational,1,34,5,2.3333333333333335,2.3333333333333335,3.0,3.0,4.0,4.0,3.3333333333333335,3.3333333333333335,4.5,4.5
27,0,0,0,0,0,1,0,right,irrational,2,39,6,3.0,3.0,4.0,4.0,4.0,4.0,1.6666666666666667,1.6666666666666667,2.5,2.5
28,0,0,0,0,0,1,0,right,irrational,1,31,6,4.0,4.0,4.5,4.5,4.75,4.75,1.0,1.0,5.0,5.0
29,1,0,0,0,1,1,1,right,irrational,2,34,5,2.6666666666666665,2.6666666666666665,2.5,2.5,4.0,4.0,3.0,3.0,4.0,4.0
30,0,0,1,0,0,0,0,right,irrational,1,70,3,5.0,5.0,4.25,4.25,5.0,5.0,1.0,1.0,5.0,5.0
31,0,0,1,1,0,1,1,right,irrational,1,24,3,2.0,2.0,4.75,4.75,3.25,3.25,2.6666666666666665,2.6666666666666665,2.0,2.0
32,1,0,1,1,1,1,1,right,irrational,1,33,2,1.3333333333333333,1.3333333333333333,5.0,5.0,5.0,5.0,2.0,2.0,3.5,3.5
33,1,1,1,1,1,0,1,right,irrational,1,51,4,4.0,4.0,2.5,2.5,2.5,2.5,3.3333333333333335,3.3333333333333335,3.5,3.5
34,1,0,1,0,0,0,0,right,irrational,1,40,3,2.0,2.0,3.25,3.25,2.5,2.5,2.3333333333333335,2.3333333333333335,4.5,4.5
35,0,0,0,0,0,1,0,right,irrational,2,33,5,3.0,3.0,3.5,3.5,3.25,3.25,1.6666666666666667,1.6666666666666667,3.5,3.5
36,0,1,0,1,1,1,1,right,irrational,2,20,3,1.0,1.0,3.5,3.5,2.0,2.0,2.0,2.0,2.5,2.5
37,1,0,0,0,1,1,1,right,irrational,1,25,5,1.0,1.0,2.75,2.75,2.25,2.25,2.0,2.0,1.0,1.0
0,0,0,0,0,0,0,0,left,irrational,1,52,3,2.0,2.0,4.75,4.75,5.0,5.0,1.6666666666666667,1.6666666666666667,3.5,3.5
1,0,0,0,1,0,0,0,left,irrational,2,33,5,3.3333333333333335,3.3333333333333335,3.0,3.0,2.5,2.5,3.3333333333333335,3.3333333333333335,4.5,4.5
2,0,0,0,0,0,1,0,left,irrational,1,61,2,2.3333333333333335,2.3333333333333335,5.0,5.0,4.75,4.75,1.0,1.0,2.5,2.5
3,1,0,1,0,0,0,0,left,irrational,2,55,8,2.0,2.0,4.25,4.25,5.0,5.0,2.0,2.0,3.0,3.0
4,1,0,1,0,1,0,0,left,irrational,1,43,5,4.0,4.0,5.0,5.0,5.0,5.0,1.6666666666666667,1.6666666666666667,3.0,3.0
5,0,0,0,0,0,1,0,left,irrational,2,43,6,1.0,1.0,4.0,4.0,3.5,3.5,2.6666666666666665,2.6666666666666665,4.5,4.5
6,0,0,0,1,1,1,0,left,irrational,1,22,2,1.6666666666666667,1.6666666666666667,4.5,4.5,4.0,4.0,2.0,2.0,1.0,1.0
7,0,0,1,0,0,1,0,left,irrational,1,28,4,2.6666666666666665,2.6666666666666665,1.75,1.75,2.5,2.5,1.6666666666666667,1.6666666666666667,1.0,1.0
8,0,0,0,1,0,1,0,left,irrational,2,34,5,2.6666666666666665,2.6666666666666665,3.25,3.25,4.0,4.0,3.0,3.0,3.5,3.5
9,0,1,0,0,0,1,0,left,irrational,2,36,2,1.0,1.0,4.25,4.25,4.5,4.5,3.6666666666666665,3.6666666666666665,3.0,3.0
10,1,1,0,0,1,0,0,left,irrational,2,42,3,2.3333333333333335,2.3333333333333335,4.5,4.5,3.0,3.0,1.3333333333333333,1.3333333333333333,3.0,3.0
11,0,0,0,1,0,0,1,left,irrational,2,24,5,3.6666666666666665,3.6666666666666665,3.75,3.75,2.75,2.75,1.0,1.0,4.0,4.0
12,1,1,1,1,1,0,0,left,irrational,2,33,2,1.0,1.0,3.25,3.25,2.0,2.0,1.6666666666666667,1.6666666666666667,2.0,2.0
13,0,1,0,1,0,0,1,left,irrational,2,45,3,2.0,2.0,4.0,4.0,3.25,3.25,2.0,2.0,3.5,3.5
14,0,1,0,0,0,0,0,left,irrational,1,27,2,2.0,2.0,4.25,4.25,5.0,5.0,1.0,1.0,3.0,3.0
15,1,1,0,0,0,1,0,left,irrational,2,36,3,2.0,2.0,3.75,3.75,4.0,4.0,1.0,1.0,2.0,2.0
16,0,1,0,0,0,1,1,left,irrational,1,21,5,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0
17,0,0,0,0,0,0,0,left,irrational,1,36,4,2.6666666666666665,2.6666666666666665,4.5,4.5,3.75,3.75,2.0,2.0,2.0,2.0
18,0,0,0,0,0,1,0,left,irrational,2,28,5,1.3333333333333333,1.3333333333333333,2.5,2.5,3.0,3.0,5.0,5.0,3.5,3.5
19,0,1,1,0,0,1,0,right,irrational,2,37,2,2.0,2.0,2.75,2.75,2.25,2.25,3.6666666666666665,3.6666666666666665,3.5,3.5
20,1,0,0,1,0,0,0,right,irrational,1,52,5,3.6666666666666665,3.6666666666666665,4.0,4.0,5.0,5.0,1.0,1.0,5.0,5.0
21,0,1,0,1,1,1,1,right,irrational,2,45,5,2.3333333333333335,2.3333333333333335,3.25,3.25,3.0,3.0,3.0,3.0,4.5,4.5
22,0,1,1,1,1,0,0,right,irrational,2,32,6,1.0,1.0,4.25,4.25,4.25,4.25,2.6666666666666665,2.6666666666666665,3.0,3.0
23,0,1,0,1,0,0,1,right,irrational,1,27,5,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0
24,0,0,0,0,0,1,0,right,irrational,1,36,3,2.6666666666666665,2.6666666666666665,4.75,4.75,3.25,3.25,1.0,1.0,4.5,4.5
25,0,1,0,0,1,0,0,right,irrational,1,67,2,1.0,1.0,5.0,5.0,4.25,4.25,1.0,1.0,1.5,1.5
26,1,1,1,1,0,1,1,right,irrational,2,29,3,2.0,2.0,2.0,2.0,1.75,1.75,3.3333333333333335,3.3333333333333335,3.0,3.0
27,1,0,1,0,0,1,0,right,irrational,1,35,2,4.0,4.0,3.75,3.75,4.5,4.5,4.0,4.0,4.5,4.5
28,0,0,0,0,0,1,0,right,irrational,2,32,5,1.0,1.0,2.5,2.5,3.75,3.75,4.333333333333333,4.333333333333333,2.0,2.0
29,0,0,0,1,1,0,0,right,irrational,2,28,4,2.3333333333333335,2.3333333333333335,2.75,2.75,3.25,3.25,1.6666666666666667,1.6666666666666667,3.0,3.0
30,0,1,0,0,0,1,1,right,irrational,1,67,3,2.0,2.0,4.75,4.75,5.0,5.0,1.6666666666666667,1.6666666666666667,3.5,3.5
31,0,0,1,0,0,0,0,right,irrational,1,28,6,2.6666666666666665,2.6666666666666665,4.0,4.0,4.25,4.25,1.0,1.0,3.5,3.5
32,0,1,1,1,1,1,1,right,irrational,1,53,1,3.6666666666666665,3.6666666666666665,3.0,3.0,2.5,2.5,1.0,1.0,1.5,1.5
33,0,1,0,1,1,0,0,right,irrational,1,62,5,2.3333333333333335,2.3333333333333335,3.25,3.25,4.0,4.0,2.0,2.0,4.5,4.5
34,0,0,0,1,0,1,0,right,irrational,2,48,3,2.0,2.0,2.0,2.0,1.0,1.0,2.3333333333333335,2.3333333333333335,3.5,3.5
35,0,0,0,1,1,1,0,right,irrational,1,52,7,1.3333333333333333,1.3333333333333333,4.75,4.75,4.5,4.5,2.0,2.0,2.5,2.5
36,0,0,0,1,1,0,0,right,irrational,2,66,3,1.6666666666666667,1.6666666666666667,4.25,4.25,3.5,3.5,3.0,3.0,3.5,3.5
37,0,0,0,0,1,1,0,right,irrational,2,46,3,1.6666666666666667,1.6666666666666667,4.0,4.0,4.5,4.5,1.0,1.0,1.0,1.0
38,0,0,1,0,1,0,0,right,irrational,2,38,2,3.6666666666666665,3.6666666666666665,3.0,3.0,4.0,4.0,1.3333333333333333,1.3333333333333333,3.5,3.5
39,0,0,1,0,1,0,0,right,irrational,2,35,3,2.0,2.0,4.0,4.0,4.0,4.0,1.3333333333333333,1.3333333333333333,2.0,2.0
